"","cidade_bairro","preco","cidade","bairro","cep","tipo","quartos","suites","banheiros","vagas","area_util","area_total","valor_medio_metro","cluster"
"1","CuritibaBatel",2498800,"Curitiba","Batel",80250070,1,4,4,6,4,308,533,-0.166557716180536,2
"2","CuritibaBatel",1355700,"Curitiba","Batel",80420160,1,3,3,5,3,215,305,-0.166557716180536,2
"3","CuritibaPortao",265000,"Curitiba","Portao",81070000,1,3,1,2,1,75,84,-0.242681670098644,2
"4","CuritibaPortao",680000,"Curitiba","Portao",80610280,1,3,1,2,2,105,105,-0.242681670098644,2
"5","CuritibaPinheirinho",335000,"Curitiba","Pinheirinho",81130020,1,2,1,2,1,59,59,1.33557532857388,2
"6","CuritibaAlto da XV",233000,"Curitiba","Alto da XV",80045155,1,1,0,1,0,35,54,-0.195423666746496,2
"7","CuritibaChampagnat",1500000,"Curitiba","Champagnat",80730440,1,3,1,4,2,241,281,-0.19438350623857,2
"8","CuritibaAgua Verde",3500000,"Curitiba","Agua Verde",80240110,1,4,4,6,4,300,300,0.35601609019606,2
"9","CuritibaCabral",1100000,"Curitiba","Cabral",80035040,1,3,1,4,2,188,279,0.120070326886263,2
"10","CuritibaBigorrilho",520000,"Curitiba","Bigorrilho",80730080,1,1,1,2,1,90,148,0.157006899057248,2
"11","CuritibaBigorrilho",989000,"Curitiba","Bigorrilho",80730000,1,3,1,2,2,107,171,0.157006899057248,2
"12","CuritibaMossungue",2100000,"Curitiba","Mossungue",81210000,1,4,3,4,4,301,505,5.5332818212284,1
"13","CuritibaReboucas",380000,"Curitiba","Reboucas",80230090,1,2,1,2,1,64,112,-0.213187797769121,2
"14","CuritibaCabral",460000,"Curitiba","Cabral",80035270,1,3,1,2,1,75,75,0.120070326886263,2
"15","CuritibaAgua Verde",1080000,"Curitiba","Agua Verde",80240030,1,4,4,5,3,171,337,0.35601609019606,2
"16","CuritibaPinheirinho",165000,"Curitiba","Pinheirinho",81870000,1,2,0,1,1,49,54,1.33557532857388,2
"17","CuritibaCentro",240000,"Curitiba","Centro",80250020,1,1,0,1,1,34,69,0.610945818470473,2
"18","CuritibaPortao",250000,"Curitiba","Portao",80610320,1,2,0,1,1,53,89,-0.242681670098644,2
"19","CuritibaAgua Verde",149000,"Curitiba","Agua Verde",80620300,1,1,0,1,0,22,22,0.35601609019606,2
"20","CuritibaBatel",1500000,"Curitiba","Batel",80250210,1,4,2,5,3,224,332,-0.166557716180536,2
"21","CuritibaBacacheri",499000,"Curitiba","Bacacheri",82515260,1,3,1,2,2,77,148,1.12257117600166,2
"22","CuritibaPinheirinho",250000,"Curitiba","Pinheirinho",81870060,1,2,0,1,2,53,105,1.33557532857388,2
"23","CuritibaCIC",155000,"Curitiba","CIC",81310020,1,3,0,1,1,48,52,-0.267641745007045,2
"24","CuritibaBigorrilho",600000,"Curitiba","Bigorrilho",80730080,1,3,1,3,2,97,142,0.157006899057248,2
"25","CuritibaVila Izabel",350000,"Curitiba","Vila Izabel",80320260,1,2,1,2,1,62,106,0.774648665651767,2
"26","CuritibaEcoville",1599900,"Curitiba","Ecoville",81210035,1,4,2,5,3,185,185,0.155132554627676,2
"27","CuritibaCampo Comprido",1550000,"Curitiba","Campo Comprido",81200521,1,4,2,4,3,168,168,-0.212594402639083,2
"28","CuritibaPilarzinho",285000,"Curitiba","Pilarzinho",82130290,1,3,1,2,1,72,93,-0.266736033543251,2
"29","CuritibaVila Izabel",520000,"Curitiba","Vila Izabel",80320090,1,3,1,2,1,91,109,0.774648665651767,2
"30","CuritibaBoqueirao",223000,"Curitiba","Boqueirao",81670010,1,2,1,2,1,59,63,-0.269022630738485,2
"31","CuritibaCIC",323000,"Curitiba","CIC",81280350,1,2,1,2,1,69,69,-0.267641745007045,2
"32","CuritibaAgua Verde",1200000,"Curitiba","Agua Verde",80240070,1,3,1,3,2,120,200,0.35601609019606,2
"33","PinhaisJardim Amelia",142000,"Pinhais","Jardim Amelia",83330210,1,2,0,1,1,41,41,-0.280616884835792,2
"34","CuritibaPortao",315000,"Curitiba","Portao",80610280,1,2,1,2,1,54,54,-0.242681670098644,2
"35","CuritibaBigorrilho",245000,"Curitiba","Bigorrilho",80730000,1,2,0,1,1,41,52,0.157006899057248,2
"36","CuritibaAgua Verde",409000,"Curitiba","Agua Verde",80610070,1,2,1,2,1,67,104,0.35601609019606,2
"37","CuritibaCabral",520000,"Curitiba","Cabral",80035170,1,3,0,3,1,98,151,0.120070326886263,2
"38","CuritibaBigorrilho",680000,"Curitiba","Bigorrilho",80730370,1,3,1,3,2,118,193,0.157006899057248,2
"39","CuritibaBatel",479000,"Curitiba","Batel",80240010,1,2,0,1,1,60,109,-0.166557716180536,2
"40","CuritibaEcoville",625000,"Curitiba","Ecoville",81200200,1,3,1,3,2,115,200,0.155132554627676,2
"41","CuritibaVila Izabel",609000,"Curitiba","Vila Izabel",80320240,1,3,1,3,2,102,129,0.774648665651767,2
"42","CuritibaVila Izabel",230000,"Curitiba","Vila Izabel",80320070,1,1,0,1,1,31,45,0.774648665651767,2
"43","CuritibaBacacheri",256000,"Curitiba","Bacacheri",82515396,1,2,0,1,1,53,70,1.12257117600166,2
"44","CuritibaAgua Verde",3439900,"Curitiba","Agua Verde",80240110,1,4,4,6,4,300,581,0.35601609019606,2
"45","CuritibaAgua Verde",879000,"Curitiba","Agua Verde",80240130,1,3,1,2,2,141,233,0.35601609019606,2
"46","CuritibaNovo Mundo",780000,"Curitiba","Novo Mundo",81020430,1,3,3,4,2,122,122,1.40282914299853,2
"47","CuritibaCristo Rei",594900,"Curitiba","Cristo Rei",82530195,1,2,0,2,2,118,180,-0.238827454619527,2
"48","CuritibaAlto da XV",715000,"Curitiba","Alto da XV",80050220,1,3,1,2,2,98,172,-0.195423666746496,2
"49","CuritibaMossungue",1020000,"Curitiba","Mossungue",81210000,1,3,1,3,2,132,213,5.5332818212284,1
"50","CuritibaAlto da XV",1250000,"Curitiba","Alto da XV",80045110,1,3,1,4,2,198,305,-0.195423666746496,2
"51","CuritibaJuveve",1890000,"Curitiba","Juveve",80030440,1,5,2,5,4,250,396,1.72174867170529,1
"52","CuritibaPortao",440000,"Curitiba","Portao",80330340,1,3,1,2,2,79,79,-0.242681670098644,2
"53","CuritibaMerces",1050000,"Curitiba","Merces",80410030,1,3,1,4,2,152,232,-0.218963178289305,2
"54","CuritibaCentro Civico",1860000,"Curitiba","Centro Civico",80540300,1,4,2,5,3,230,348,-0.174155988148738,2
"55","CuritibaEcoville",1490000,"Curitiba","Ecoville",81200110,1,3,3,5,3,232,336,0.155132554627676,2
"56","CuritibaAgua Verde",1020000,"Curitiba","Agua Verde",80240090,1,3,1,3,2,118,242,0.35601609019606,2
"57","CuritibaJuveve",1280000,"Curitiba","Juveve",80030380,1,3,1,3,3,227,308,1.72174867170529,1
"58","CuritibaSanta Quiteria",265000,"Curitiba","Santa Quiteria",80310420,1,2,1,2,1,67,94,-0.270579762271141,2
"59","CuritibaCentro",220900,"Curitiba","Centro",80250210,1,1,0,1,0,26,41,0.610945818470473,2
"60","CuritibaAlto da XV",1350000,"Curitiba","Alto da XV",80045140,1,4,2,5,2,164,205,-0.195423666746496,2
"61","CuritibaEcoville",515000,"Curitiba","Ecoville",81280350,1,3,2,4,2,89,145,0.155132554627676,2
"62","CuritibaBatel",795000,"Curitiba","Batel",80420011,1,4,1,4,2,228,313,-0.166557716180536,2
"63","CuritibaCentro",260000,"Curitiba","Centro",80020270,1,1,0,1,1,34,71,0.610945818470473,2
"64","CuritibaSanta Quiteria",250000,"Curitiba","Santa Quiteria",80310230,1,1,0,1,1,40,99,-0.270579762271141,2
"65","CuritibaAgua Verde",390000,"Curitiba","Agua Verde",80240050,1,3,1,2,1,117,127,0.35601609019606,2
"66","CuritibaMerces",179900,"Curitiba","Merces",80420200,1,1,1,1,0,26,36,-0.218963178289305,2
"67","CuritibaPrado Velho",177220,"Curitiba","Prado Velho",80215220,1,1,0,1,0,33,43,-0.171309025209323,2
"68","CuritibaUberaba",404838,"Curitiba","Uberaba",81570160,1,3,1,2,1,87,126,-0.270432126202608,2
"69","CuritibaFanny",265000,"Curitiba","Fanny",81690200,1,3,1,2,1,62,62,5.92637775970377,1
"70","CuritibaBatel",2700000,"Curitiba","Batel",80240010,1,4,2,5,3,314,440,-0.166557716180536,2
"71","CuritibaBigorrilho",690000,"Curitiba","Bigorrilho",80730320,1,2,1,2,1,116,155,0.157006899057248,2
"72","CuritibaBigorrilho",490000,"Curitiba","Bigorrilho",80730380,1,3,1,3,1,124,182,0.157006899057248,2
"73","PinhaisCentro",790000,"Pinhais","Centro",83323040,1,3,1,3,2,173,227,-0.282582656301498,2
"74","CuritibaSanta Felicidade",415000,"Curitiba","Santa Felicidade",82400000,1,2,1,2,2,62,62,-0.201932923245291,2
"75","CuritibaCentro",330000,"Curitiba","Centro",80060200,1,1,0,1,1,32,32,0.610945818470473,2
"76","CuritibaAgua Verde",807049,"Curitiba","Agua Verde",80620100,1,2,2,3,2,129,236,0.35601609019606,2
"77","CuritibaBigorrilho",2500000,"Curitiba","Bigorrilho",80410140,1,3,3,5,3,213,366,0.157006899057248,2
"78","CuritibaVila Izabel",630000,"Curitiba","Vila Izabel",80320000,1,3,1,3,2,95,128,0.774648665651767,2
"79","CuritibaMerces",238000,"Curitiba","Merces",80810070,1,1,0,1,0,32,32,-0.218963178289305,2
"80","CuritibaEcoville",980000,"Curitiba","Ecoville",81200370,1,3,1,4,3,161,203,0.155132554627676,2
"81","CuritibaCajuru",211000,"Curitiba","Cajuru",82940150,1,2,1,2,1,55,55,-0.265348004946388,2
"82","CuritibaJardim Botanico",168000,"Curitiba","Jardim Botanico",80210150,1,2,0,1,0,62,62,-0.255956782220209,2
"83","CuritibaAgua Verde",249000,"Curitiba","Agua Verde",80610300,1,2,0,1,1,55,93,0.35601609019606,2
"84","CuritibaAgua Verde",850000,"Curitiba","Agua Verde",80240020,1,3,1,1,2,137,216,0.35601609019606,2
"85","CuritibaCabral",800000,"Curitiba","Cabral",80035230,1,3,3,4,2,120,200,0.120070326886263,2
"86","CuritibaAlto da XV",840000,"Curitiba","Alto da XV",80045115,1,3,1,3,2,129,194,-0.195423666746496,2
"87","CuritibaAlto da XV",492000,"Curitiba","Alto da XV",80040050,1,3,1,2,2,87,168,-0.195423666746496,2
"88","CuritibaCentro",899000,"Curitiba","Centro",80420210,1,1,1,1,1,75,173,0.610945818470473,2
"89","CuritibaPinheirinho",255000,"Curitiba","Pinheirinho",81870060,1,2,0,1,2,53,105,1.33557532857388,2
"90","CuritibaAlto da Gloria",2612000,"Curitiba","Alto da Gloria",80030230,1,5,4,5,4,289,460,-0.159396553473786,2
"91","CuritibaVila Izabel",447900,"Curitiba","Vila Izabel",80320260,1,3,1,2,2,77,158,0.774648665651767,2
"92","CuritibaAgua Verde",390000,"Curitiba","Agua Verde",80610100,1,3,1,2,1,104,166,0.35601609019606,2
"93","CuritibaAlto da XV",1180000,"Curitiba","Alto da XV",80045110,1,3,1,4,2,197,305,-0.195423666746496,2
"94","CuritibaJuveve",1200000,"Curitiba","Juveve",80040110,1,3,2,4,2,198,305,1.72174867170529,1
