"SalesOrderID","OrderDate","CustomerID","SalesPersonID","TerritoryID","SubTotal","TaxAmt","Freight","TotalDue"
43659,"07/01/2005",29825,279,5,20565.6206,1971.5149,616.0984,23153.2339
43660,"07/01/2005",29672,279,5,1294.2529,124.2483,38.8276,1457.3288
43661,"07/01/2005",29734,282,6,32726.4786,3153.7696,985.553,36865.8012
43662,"07/01/2005",29994,282,6,28832.5289,2775.1646,867.2389,32474.9324
43663,"07/01/2005",29565,276,4,419.4589,40.2681,12.5838,472.3108
43664,"07/01/2005",29898,280,1,24432.6088,2344.9921,732.81,27510.4109
43665,"07/01/2005",29580,283,1,14352.7713,1375.9427,429.9821,16158.6961
43666,"07/01/2005",30052,276,4,5056.4896,486.3747,151.9921,5694.8564
43667,"07/01/2005",29974,277,3,6107.082,586.1203,183.1626,6876.3649
43668,"07/01/2005",29614,282,6,35944.1562,3461.7654,1081.8017,40487.7233
43669,"07/01/2005",29747,283,1,714.7043,70.5175,22.0367,807.2585
43670,"07/01/2005",29566,275,3,6122.082,587.5603,183.6126,6893.2549
43671,"07/01/2005",29890,283,1,8128.7876,780.8136,244.0042,9153.6054
43672,"07/01/2005",30067,282,6,6124.182,587.6023,183.6257,6895.41
43673,"07/01/2005",29844,275,2,3746.2015,357.9614,111.8629,4216.0258
43674,"07/01/2005",29596,282,6,2624.382,251.9407,78.7315,2955.0542
43675,"07/01/2005",29827,277,3,5716.3102,546.8759,170.8987,6434.0848
43676,"07/01/2005",29811,275,5,14203.458,1363.266,426.0206,15992.7446
43677,"07/01/2005",29824,278,6,7793.1108,747.1011,233.4691,8773.681
43678,"07/01/2005",29889,281,4,9799.9243,942.074,294.3981,11036.3964
43679,"07/01/2005",29761,278,6,1316.0575,125.8032,39.3135,1481.1742
43680,"07/01/2005",29489,281,4,11397.4992,1093.6394,341.7623,12832.9009
43681,"07/01/2005",29661,279,5,13787.5434,1323.0668,413.4584,15524.0686
43682,"07/01/2005",29759,275,2,3875.7229,371.8002,116.1876,4363.7107
43683,"07/01/2005",29497,283,1,42813.4333,4107.1489,1283.484,48204.0662
43684,"07/01/2005",29912,279,5,5596.4705,537.2612,167.8941,6301.6258
43685,"07/01/2005",30084,279,5,2736.5678,263.201,82.2503,3082.0191
43686,"07/01/2005",29606,283,1,3463.2998,332.4768,103.899,3899.6756
43687,"07/01/2005",29610,275,2,1258.3767,120.8042,37.7513,1416.9322
43688,"07/01/2005",29718,275,2,12718.0844,1222.8838,382.1512,14323.1194
43689,"07/01/2005",29646,277,4,33997.3702,3271.4942,1022.3419,38291.2063
43690,"07/01/2005",29533,275,3,1297.5901,124.2027,38.8133,1460.6061
43691,"07/01/2005",29570,277,4,874.794,83.9802,26.2438,985.018
43692,"07/01/2005",29992,281,4,38510.8973,3696.3979,1155.1244,43362.4196
43693,"07/01/2005",29491,275,5,20541.4072,1969.5564,615.4864,23126.45
43694,"07/01/2005",29549,279,5,20645.634,1978.3257,618.2268,23242.1865
43695,"07/01/2005",29958,279,5,39373.781,3787.4632,1183.5823,44344.8265
43696,"07/01/2005",29849,279,5,419.4589,40.2681,12.5838,472.3108
43697,"07/01/2005",21768,NULL,6,3578.27,286.2616,89.4568,3953.9884
43698,"07/01/2005",28389,NULL,7,3399.99,271.9992,84.9998,3756.989
43699,"07/01/2005",25863,NULL,1,3399.99,271.9992,84.9998,3756.989
43700,"07/01/2005",14501,NULL,4,699.0982,55.9279,17.4775,772.5036
43701,"07/01/2005",11003,NULL,9,3399.99,271.9992,84.9998,3756.989
43702,"07/02/2005",27645,NULL,4,3578.27,286.2616,89.4568,3953.9884
43703,"07/02/2005",16624,NULL,9,3578.27,286.2616,89.4568,3953.9884
43704,"07/02/2005",11005,NULL,9,3374.99,269.9992,84.3748,3729.364
43705,"07/02/2005",11011,NULL,9,3399.99,271.9992,84.9998,3756.989
43706,"07/03/2005",27621,NULL,4,3578.27,286.2616,89.4568,3953.9884
43707,"07/03/2005",27616,NULL,4,3578.27,286.2616,89.4568,3953.9884
43708,"07/03/2005",20042,NULL,10,699.0982,55.9279,17.4775,772.5036
43709,"07/03/2005",16351,NULL,9,3578.27,286.2616,89.4568,3953.9884
43710,"07/03/2005",16517,NULL,9,3578.27,286.2616,89.4568,3953.9884
43711,"07/04/2005",27606,NULL,1,3578.27,286.2616,89.4568,3953.9884
43712,"07/04/2005",13513,NULL,8,3578.27,286.2616,89.4568,3953.9884
43713,"07/05/2005",27601,NULL,4,3578.27,286.2616,89.4568,3953.9884
43714,"07/05/2005",13591,NULL,10,3578.27,286.2616,89.4568,3953.9884
43715,"07/05/2005",16483,NULL,9,3578.27,286.2616,89.4568,3953.9884
43716,"07/05/2005",16529,NULL,9,3578.27,286.2616,89.4568,3953.9884
43717,"07/05/2005",25249,NULL,9,699.0982,55.9279,17.4775,772.5036
43718,"07/06/2005",27668,NULL,1,3578.27,286.2616,89.4568,3953.9884
43719,"07/06/2005",27612,NULL,4,3578.27,286.2616,89.4568,3953.9884
43720,"07/06/2005",13264,NULL,8,3578.27,286.2616,89.4568,3953.9884
43721,"07/06/2005",13590,NULL,10,3578.27,286.2616,89.4568,3953.9884
43722,"07/07/2005",13581,NULL,10,3578.27,286.2616,89.4568,3953.9884
43723,"07/07/2005",14520,NULL,1,699.0982,55.9279,17.4775,772.5036
43724,"07/07/2005",16520,NULL,9,3578.27,286.2616,89.4568,3953.9884
43725,"07/08/2005",13258,NULL,8,3578.27,286.2616,89.4568,3953.9884
43726,"07/08/2005",14560,NULL,4,699.0982,55.9279,17.4775,772.5036
43727,"07/08/2005",16607,NULL,9,3578.27,286.2616,89.4568,3953.9884
43728,"07/09/2005",27666,NULL,4,3578.27,286.2616,89.4568,3953.9884
43729,"07/09/2005",11238,NULL,10,3399.99,271.9992,84.9998,3756.989
43730,"07/09/2005",25861,NULL,4,3399.99,271.9992,84.9998,3756.989
43731,"07/09/2005",16629,NULL,9,3578.27,286.2616,89.4568,3953.9884
43732,"07/09/2005",11025,NULL,9,3374.99,269.9992,84.3748,3729.364
43733,"07/09/2005",27577,NULL,1,3578.27,286.2616,89.4568,3953.9884
43734,"07/10/2005",27604,NULL,1,3578.27,286.2616,89.4568,3953.9884
43735,"07/10/2005",16522,NULL,9,3578.27,286.2616,89.4568,3953.9884
43736,"07/10/2005",11002,NULL,9,3399.99,271.9992,84.9998,3756.989
43737,"07/11/2005",13261,NULL,8,3578.27,286.2616,89.4568,3953.9884
43738,"07/11/2005",11606,NULL,7,3578.27,286.2616,89.4568,3953.9884
43739,"07/11/2005",13563,NULL,10,3578.27,286.2616,89.4568,3953.9884
43740,"07/11/2005",16527,NULL,9,3578.27,286.2616,89.4568,3953.9884
43741,"07/12/2005",27671,NULL,1,3578.27,286.2616,89.4568,3953.9884
43742,"07/12/2005",13576,NULL,10,3578.27,286.2616,89.4568,3953.9884
43743,"07/12/2005",11007,NULL,9,3399.99,271.9992,84.9998,3756.989
43744,"07/12/2005",16631,NULL,9,3578.27,286.2616,89.4568,3953.9884
43745,"07/13/2005",16514,NULL,9,3578.27,286.2616,89.4568,3953.9884
43746,"07/13/2005",16616,NULL,9,3578.27,286.2616,89.4568,3953.9884
43747,"07/14/2005",27623,NULL,4,3578.27,286.2616,89.4568,3953.9884
43748,"07/14/2005",27625,NULL,1,3578.27,286.2616,89.4568,3953.9884
43749,"07/14/2005",27636,NULL,1,3578.27,286.2616,89.4568,3953.9884
43750,"07/14/2005",11591,NULL,7,3578.27,286.2616,89.4568,3953.9884
43751,"07/14/2005",11592,NULL,7,3578.27,286.2616,89.4568,3953.9884
43752,"07/14/2005",13265,NULL,8,3578.27,286.2616,89.4568,3953.9884
43753,"07/14/2005",16482,NULL,9,3578.27,286.2616,89.4568,3953.9884
43754,"07/15/2005",27617,NULL,1,3578.27,286.2616,89.4568,3953.9884
43755,"07/15/2005",27670,NULL,4,3578.27,286.2616,89.4568,3953.9884
43756,"07/15/2005",19941,NULL,10,699.0982,55.9279,17.4775,772.5036
43757,"07/15/2005",11017,NULL,9,3374.99,269.9992,84.3748,3729.364
43758,"07/16/2005",27646,NULL,4,3578.27,286.2616,89.4568,3953.9884
43759,"07/16/2005",13257,NULL,8,3578.27,286.2616,89.4568,3953.9884
43760,"07/16/2005",16352,NULL,9,3578.27,286.2616,89.4568,3953.9884
43761,"07/16/2005",16493,NULL,9,3578.27,286.2616,89.4568,3953.9884
43762,"07/17/2005",27578,NULL,4,3578.27,286.2616,89.4568,3953.9884
43763,"07/17/2005",16525,NULL,9,3578.27,286.2616,89.4568,3953.9884
43764,"07/17/2005",16612,NULL,9,3578.27,286.2616,89.4568,3953.9884
43765,"07/17/2005",11010,NULL,9,3399.99,271.9992,84.9998,3756.989
43766,"07/18/2005",16518,NULL,9,3578.27,286.2616,89.4568,3953.9884
43767,"07/18/2005",11001,NULL,9,3374.99,269.9992,84.3748,3729.364
43768,"07/19/2005",27649,NULL,1,3578.27,286.2616,89.4568,3953.9884
43769,"07/19/2005",21659,NULL,6,3578.27,286.2616,89.4568,3953.9884
43770,"07/19/2005",27614,NULL,1,3578.27,286.2616,89.4568,3953.9884
43771,"07/19/2005",14559,NULL,4,699.0982,55.9279,17.4775,772.5036
43772,"07/19/2005",16524,NULL,9,3578.27,286.2616,89.4568,3953.9884
43773,"07/19/2005",16526,NULL,9,3578.27,286.2616,89.4568,3953.9884
43774,"07/19/2005",16348,NULL,9,3578.27,286.2616,89.4568,3953.9884
43775,"07/19/2005",11027,NULL,9,3399.99,271.9992,84.9998,3756.989
43776,"07/20/2005",13260,NULL,8,3578.27,286.2616,89.4568,3953.9884
43777,"07/20/2005",16515,NULL,9,3578.27,286.2616,89.4568,3953.9884
43778,"07/20/2005",11018,NULL,9,3399.99,271.9992,84.9998,3756.989
43779,"07/20/2005",25252,NULL,9,699.0982,55.9279,17.4775,772.5036
43780,"07/21/2005",11599,NULL,7,3578.27,286.2616,89.4568,3953.9884
43781,"07/21/2005",16495,NULL,9,3578.27,286.2616,89.4568,3953.9884
43782,"07/21/2005",16516,NULL,9,3578.27,286.2616,89.4568,3953.9884
43783,"07/21/2005",16620,NULL,9,3578.27,286.2616,89.4568,3953.9884
43784,"07/22/2005",27667,NULL,4,3578.27,286.2616,89.4568,3953.9884
43785,"07/22/2005",11601,NULL,7,3578.27,286.2616,89.4568,3953.9884
43786,"07/22/2005",11607,NULL,7,3578.27,286.2616,89.4568,3953.9884
43787,"07/22/2005",29385,NULL,8,3399.99,271.9992,84.9998,3756.989
43788,"07/22/2005",11239,NULL,10,3374.99,269.9992,84.3748,3729.364
43789,"07/22/2005",25865,NULL,1,3374.99,269.9992,84.3748,3729.364
43790,"07/22/2005",25857,NULL,1,3399.99,271.9992,84.9998,3756.989
43791,"07/22/2005",16484,NULL,9,3578.27,286.2616,89.4568,3953.9884
43792,"07/22/2005",16623,NULL,9,3578.27,286.2616,89.4568,3953.9884
43793,"07/22/2005",11000,NULL,9,3399.99,271.9992,84.9998,3756.989
43794,"07/22/2005",11029,NULL,9,3399.99,271.9992,84.9998,3756.989
43795,"07/23/2005",27615,NULL,4,3578.27,286.2616,89.4568,3953.9884
43796,"07/23/2005",17956,NULL,7,699.0982,55.9279,17.4775,772.5036
43797,"07/23/2005",16345,NULL,9,3578.27,286.2616,89.4568,3953.9884
43798,"07/23/2005",16521,NULL,9,3578.27,286.2616,89.4568,3953.9884
43799,"07/23/2005",16636,NULL,9,3578.27,286.2616,89.4568,3953.9884
43800,"07/24/2005",21710,NULL,6,3578.27,286.2616,89.4568,3953.9884
43801,"07/24/2005",13583,NULL,10,3578.27,286.2616,89.4568,3953.9884
43802,"07/24/2005",11593,NULL,7,3578.27,286.2616,89.4568,3953.9884
43803,"07/25/2005",21741,NULL,6,3578.27,286.2616,89.4568,3953.9884
43804,"07/25/2005",13585,NULL,10,3578.27,286.2616,89.4568,3953.9884
43805,"07/25/2005",14510,NULL,1,699.0982,55.9279,17.4775,772.5036
43806,"07/25/2005",16523,NULL,9,3578.27,286.2616,89.4568,3953.9884
43807,"07/26/2005",11611,NULL,7,3578.27,286.2616,89.4568,3953.9884
43808,"07/26/2005",13259,NULL,8,3578.27,286.2616,89.4568,3953.9884
43809,"07/26/2005",16350,NULL,9,3578.27,286.2616,89.4568,3953.9884
43810,"07/26/2005",11004,NULL,9,3399.99,271.9992,84.9998,3756.989
43811,"07/26/2005",11026,NULL,9,3399.99,271.9992,84.9998,3756.989
43812,"07/27/2005",27662,NULL,4,3578.27,286.2616,89.4568,3953.9884
43813,"07/27/2005",28390,NULL,7,3374.99,269.9992,84.3748,3729.364
43814,"07/27/2005",25866,NULL,1,3374.99,269.9992,84.3748,3729.364
43815,"07/27/2005",16494,NULL,9,3578.27,286.2616,89.4568,3953.9884
43816,"07/27/2005",16496,NULL,9,3578.27,286.2616,89.4568,3953.9884
43817,"07/27/2005",16519,NULL,9,3578.27,286.2616,89.4568,3953.9884
43818,"07/27/2005",16528,NULL,9,3578.27,286.2616,89.4568,3953.9884
43819,"07/27/2005",11006,NULL,9,3399.99,271.9992,84.9998,3756.989
43820,"07/28/2005",27651,NULL,4,3578.27,286.2616,89.4568,3953.9884
43821,"07/28/2005",27663,NULL,4,3578.27,286.2616,89.4568,3953.9884
43822,"07/28/2005",27669,NULL,4,3578.27,286.2616,89.4568,3953.9884
43823,"07/28/2005",19942,NULL,10,699.0982,55.9279,17.4775,772.5036
43824,"07/28/2005",14558,NULL,1,699.0982,55.9279,17.4775,772.5036
43825,"07/28/2005",16349,NULL,9,3578.27,286.2616,89.4568,3953.9884
43826,"07/28/2005",11008,NULL,9,3374.99,269.9992,84.3748,3729.364
43827,"07/28/2005",25250,NULL,9,699.0982,55.9279,17.4775,772.5036
43828,"07/29/2005",27605,NULL,1,3578.27,286.2616,89.4568,3953.9884
43829,"07/29/2005",27611,NULL,4,3578.27,286.2616,89.4568,3953.9884
43830,"07/29/2005",16347,NULL,9,3578.27,286.2616,89.4568,3953.9884
43831,"07/29/2005",11028,NULL,9,3374.99,269.9992,84.3748,3729.364
43832,"07/29/2005",13584,NULL,10,3578.27,286.2616,89.4568,3953.9884
43833,"07/30/2005",21727,NULL,6,3578.27,286.2616,89.4568,3953.9884
43834,"07/30/2005",28393,NULL,7,3374.99,269.9992,84.3748,3729.364
